CustomerID,Total_Revenue,Total_Quantity,Unique_Orders,Country,Revenue_Rank
14646,280206.02,196915,73,Netherlands,1
18102,259657.3,64124,60,United Kingdom,2
17450,194550.79,69993,46,United Kingdom,3
16446,168472.5,80997,2,United Kingdom,4
14911,143825.06,80265,201,EIRE,5
12415,124914.53,77374,21,Australia,6
14156,117379.63,57885,55,EIRE,7
17511,91062.38,64549,31,United Kingdom,8
16029,81024.84,40208,63,United Kingdom,9
12346,77183.6,74215,1,United Kingdom,10
16684,66653.56,50255,28,United Kingdom,11
14096,65164.79,16352,17,United Kingdom,12
13694,65039.62,63312,50,United Kingdom,13
15311,60767.9,38194,91,United Kingdom,14
13089,58825.83,31070,97,United Kingdom,15
17949,58510.48,30546,45,United Kingdom,16
15769,56252.72,29672,26,United Kingdom,17
15061,54534.14,28920,48,United Kingdom,18
14298,51527.3,58343,44,United Kingdom,19
14088,50491.81,12665,13,United Kingdom,20
15749,44534.3,18028,3,United Kingdom,21
12931,42055.96,28004,15,United Kingdom,22
17841,40991.57,23071,124,United Kingdom,23
15098,39916.5,121,3,United Kingdom,24
13798,37153.85,23948,57,United Kingdom,25
16013,37130.6,15536,47,United Kingdom,26
16422,34684.4,33704,51,United Kingdom,27
12748,33719.73,25747,209,United Kingdom,28
15838,33643.08,18368,19,United Kingdom,29
17404,31906.82,32748,15,Sweden,30
17389,31833.68,7612,34,United Kingdom,31
13098,28882.44,15968,28,United Kingdom,32
14680,28754.11,13476,16,United Kingdom,33
13081,28337.38,19068,11,United Kingdom,34
13408,28117.04,16232,62,United Kingdom,35
17857,26879.04,19256,23,United Kingdom,36
16333,26626.8,32184,22,United Kingdom,37
13777,25977.16,12897,33,United Kingdom,38
12753,21429.39,11421,6,Japan,39
12744,21279.29,5241,7,Singapore,40
16210,21086.3,7559,18,United Kingdom,41
17675,20374.28,8360,31,United Kingdom,42
17381,20275.61,25649,29,United Kingdom,43
15039,19914.44,9209,47,United Kingdom,44
12471,19824.05,8212,30,Germany,45
12731,18895.91,8437,12,France,46
15159,18641.010000000002,11441,30,United Kingdom,47
12901,17654.54,23075,28,United Kingdom,48
12678,17628.46,10923,12,France,49
14031,17286.86,5788,19,United Kingdom,50
17428,17256.85,9474,28,United Kingdom,51
13767,17220.36,7322,37,United Kingdom,52
13881,17159.52,10118,20,United Kingdom,53
16839,16594.35,8975,34,United Kingdom,54
12921,16587.09,9526,37,United Kingdom,55
14607,16569.5,11766,14,United Kingdom,56
15856,16387.57,11005,27,United Kingdom,57
17677,16363.23,9775,30,United Kingdom,58
15189,16225.39,6149,41,United Kingdom,59
14051,15610.390000000001,3756,23,United Kingdom,60
15513,14758.220000000001,5709,19,United Kingdom,61
16133,14589.04,8887,33,United Kingdom,62
14866,14389.9,6752,12,United Kingdom,63
16705,14034.99,5476,20,United Kingdom,64
12681,13787.54,7536,22,France,65
12621,13689.67,7440,20,Germany,66
12540,13400.24,6685,17,Spain,67
12433,13375.87,11071,7,Norway,68
15498,13316.4,6105,27,United Kingdom,69
12477,13219.74,3653,6,Germany,70
17735,13110.02,8439,19,United Kingdom,71
16525,13027.45,7397,26,United Kingdom,72
14258,12669.98,7100,9,United Kingdom,73
13078,12627.94,5630,26,United Kingdom,74
12536,12601.830000000002,2803,3,France,75
15640,12515.66,6607,15,United Kingdom,76
16000,12393.7,5110,3,United Kingdom,77
17340,12353.29,5967,11,United Kingdom,78
12682,12288.22,5575,31,France,79
13113,12245.960000000001,3045,24,United Kingdom,80
14606,12156.65,6224,93,United Kingdom,81
12557,11990.960000000001,4384,5,Spain,82
12939,11581.8,4876,8,United Kingdom,83
15125,11528.48,6193,15,United Kingdom,84
14194,11349.52,5840,21,United Kingdom,85
12971,11189.91,9289,86,United Kingdom,86
14895,11138.710000000001,4851,20,United Kingdom,87
12409,11072.67,5551,3,Switzerland,88
15482,11054.96,5020,12,United Kingdom,89
17581,11045.04,5927,25,United Kingdom,90
13319,10845.550000000001,4724,26,United Kingdom,91
17107,10815.43,4837,6,United Kingdom,92
13340,10736.48,5770,7,United Kingdom,93
14769,10674.75,7436,8,United Kingdom,94
17139,10668.47,5182,12,United Kingdom,95
16779,10629.720000000001,5325,22,United Kingdom,96
17865,10526.32,5757,20,United Kingdom,97
17706,10504.49,3899,17,United Kingdom,98
