Country,Total_Quantity_Demanded,Total_Revenue,Unique_Orders,Unique_Customers,Unique_Products,Demand_Rank,Avg_Order_Value,Avg_Quantity_Per_Order
Netherlands,200361,285446.34,94,9,782,1,3036.663191489362,2131.5
EIRE,147173,283453.96,288,3,1968,2,984.215138888889,511.0173611111111
Germany,119261,228867.14,457,94,1664,3,500.8033698030635,260.96498905908095
France,112103,209715.11,392,87,1542,4,534.987525510204,285.9770408163265
Australia,83901,138521.31,57,9,599,5,2430.1984210526316,1471.9473684210527
Sweden,36083,38378.33,36,8,261,6,1066.0647222222224,1002.3055555555555
Switzerland,30629,57089.9,54,21,978,7,1057.2203703703703,567.2037037037037
Spain,27940,61577.11,90,30,1091,8,684.1901111111112,310.44444444444446
Japan,26016,37416.369999999995,19,8,215,9,1969.282631578947,1369.2631578947369
Belgium,23237,41196.34,98,25,777,10,420.3708163265306,237.1122448979592
Norway,19336,36165.44,36,10,591,11,1004.5955555555556,537.1111111111111
Portugal,16258,33747.1,58,19,706,12,581.846551724138,280.3103448275862
Finland,10704,22546.08,41,12,458,13,549.9043902439025,261.0731707317073
Channel Islands,9491,20450.44,26,9,430,14,786.5553846153846,365.03846153846155
Denmark,8235,18955.34,18,9,251,15,1053.0744444444445,457.5
Italy,8112,17483.24,38,14,473,16,460.08526315789476,213.47368421052633
Cyprus,6361,13590.38,16,8,498,17,849.39875,397.5625
Singapore,5241,21279.29,7,1,178,18,3039.8985714285714,748.7142857142857
Austria,4881,10198.68,17,11,306,19,599.9223529411765,287.11764705882354
Hong Kong,4773,15691.800000000001,11,0,191,20,1426.527272727273,433.90909090909093
Israel,4409,8135.26,8,3,254,21,1016.9075,551.125
Poland,3684,7334.65,19,6,204,22,386.03421052631575,193.89473684210526
Unspecified,3300,4749.79,13,4,344,23,365.36846153846153,253.84615384615384
Canada,2763,3666.38,6,4,147,24,611.0633333333334,460.5
USA,2458,3580.39,5,4,163,25,716.078,491.6
Iceland,2458,4310.0,7,1,103,26,615.7142857142857,351.14285714285717
Greece,1557,4760.52,5,4,138,27,952.104,311.4
United Arab Emirates,982,1902.28,3,2,68,28,634.0933333333334,327.3333333333333
Malta,970,2725.59,5,2,99,29,545.118,194.0
Czech Republic,671,826.74,2,1,25,30,413.37,335.5
Lithuania,652,1661.06,4,1,29,31,415.265,163.0
European Community,499,1300.25,4,1,50,32,325.0625,124.75
Lebanon,386,1693.88,1,1,45,33,1693.88,386.0
Brazil,356,1143.6,1,1,32,34,1143.6,356.0
RSA,351,1002.3100000000001,1,1,57,35,1002.3100000000001,351.0
Bahrain,314,754.14,3,2,16,36,251.38,104.66666666666667
Saudi Arabia,80,145.92,1,1,9,37,145.92,80.0
